infraction_description,set_fine_amount,location2
PARK PROHIBITED TIME NO PERMIT,30,233 COLERIDGE AVE
PARK PROHIBITED TIME NO PERMIT,30,252 COLERIDGE AVE
PARK PROHIBITED TIME NO PERMIT,30,262 COLERIDGE AVE
PARK PROHIBITED TIME NO PERMIT,30,6 LAMB AVE
PARK PROHIBITED TIME NO PERMIT,30,266 BINGHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,273 QUEENSDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,128 LAMB AVE
PARK PROHIBITED TIME NO PERMIT,30,21 SCOLLARD ST
PARK PROHIBITED TIME NO PERMIT,30,245 QUEENSDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,BROADWAY AVE
PARK PROHIBITED TIME NO PERMIT,30,21 SCOLLARD ST
PARK PROHIBITED TIME NO PERMIT,30,BROADWAY AVE
PARK PROHIBITED TIME NO PERMIT,30,55 SCOLLARD ST
PARK PROHIBITED TIME NO PERMIT,30,18 LADYSMITH AVE
PARK PROHIBITED TIME NO PERMIT,30,193 QUEENSDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,77 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,128 MONTGOMERY AVE
PARK PROHIBITED TIME NO PERMIT,30,16 LADYSMITH AVE
PARK PROHIBITED TIME NO PERMIT,30,193 QUEENSDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,SWANWICK AVE
PARK PROHIBITED TIME NO PERMIT,30,10 LADYSMITH AVE
PARK PROHIBITED TIME NO PERMIT,30,179 QUEENSDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,93 MONTGOMERY AVE
PARK PROHIBITED TIME NO PERMIT,30,2 COOPER ST
PARK PROHIBITED TIME NO PERMIT,30,KEEWATIN AVE
PARK PROHIBITED TIME NO PERMIT,30,61 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,48 MONTGOMERY AVE
PARK PROHIBITED TIME NO PERMIT,30,2 COOPER ST
PARK PROHIBITED TIME NO PERMIT,30,KEEWATIN AVE
PARK PROHIBITED TIME NO PERMIT,30,61 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,53 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,2 COOPER ST
PARK PROHIBITED TIME NO PERMIT,30,KEEWATIN AVE
PARK PROHIBITED TIME NO PERMIT,30,53 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,46 HELENDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,24 MANCHESTER AVE
PARK PROHIBITED TIME NO PERMIT,30,191 MEDLAND CRES
PARK PROHIBITED TIME NO PERMIT,30,53 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,45 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,191 MEDLAND CRES
PARK PROHIBITED TIME NO PERMIT,30,49 BELLEVILLE ST
PARK PROHIBITED TIME NO PERMIT,30,45 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,92 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,30,18 MANCHESTER AVE
PARK PROHIBITED TIME NO PERMIT,30,191 MEDLAND CRES
PARK PROHIBITED TIME NO PERMIT,30,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,30,41 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,2 MANCHESTER AVE
PARK PROHIBITED TIME NO PERMIT,30,191 MEDLAND CRES
PARK PROHIBITED TIME NO PERMIT,30,11 BELLEVILLE ST
PARK PROHIBITED TIME NO PERMIT,30,41 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,41 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,101 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,30,41 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,983 SHAW ST
PARK PROHIBITED TIME NO PERMIT,30,25 BROCKVILLE ST
PARK PROHIBITED TIME NO PERMIT,30,44 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,44 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,30,124 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,30,124 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,30,46 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,919 SHAW ST
PARK PROHIBITED TIME NO PERMIT,30,46 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,30,124 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,30,54 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,56 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,30,36 MANCHESTER AVE
PARK PROHIBITED TIME NO PERMIT,30,99 HILLSDALE AVE W
PARK PROHIBITED TIME NO PERMIT,30,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,30,67 WHISTLE POST ST
PARK PROHIBITED TIME NO PERMIT,30,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,30,67 WHISTLE POST ST
PARK PROHIBITED TIME NO PERMIT,30,572 INDIAN GRV
PARK PROHIBITED TIME NO PERMIT,30,83 NORTHERN DANCER BLVD
PARK PROHIBITED TIME NO PERMIT,30,150 HIGHBOURNE RD
PARK PROHIBITED TIME NO PERMIT,30,584 INDIAN GRV
PARK PROHIBITED TIME NO PERMIT,30,6 WHISTLE POST ST
PARK PROHIBITED TIME NO PERMIT,30,150 HIGHBOURNE RD
PARK PROHIBITED TIME NO PERMIT,30,59 NORTHERN DANCER BLVD
PARK PROHIBITED TIME NO PERMIT,30,164 HIGHBOURNE RD
PARK PROHIBITED TIME NO PERMIT,30,164 HIGHBOURNE RD
PARK PROHIBITED TIME NO PERMIT,30,601 INDIAN GRV
PARK PROHIBITED TIME NO PERMIT,30,29 NORTHERN DANCER BLVD
PARK PROHIBITED TIME NO PERMIT,30,104 BLAKE ST
PARK PROHIBITED TIME NO PERMIT,30,87 HOOK AVE
PARK PROHIBITED TIME NO PERMIT,30,104 BLAKE ST
PARK PROHIBITED TIME NO PERMIT,30,73 HOOK AVE
PARK PROHIBITED TIME NO PERMIT,30,ENDERBY RD
PARK PROHIBITED TIME NO PERMIT,30,BURNABY BLVD
PARK PROHIBITED TIME NO PERMIT,30,29 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,266 SOUDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,31 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,70 BLAKE ST
PARK PROHIBITED TIME NO PERMIT,30,266 SOUDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,266 SOUDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,69 HOOK AVE
PARK PROHIBITED TIME NO PERMIT,30,31 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,70 BLAKE ST
PARK PROHIBITED TIME NO PERMIT,30,31 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,70 BLAKE ST
PARK PROHIBITED TIME NO PERMIT,30,266 SOUDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,61 HOOK AVE
PARK PROHIBITED TIME NO PERMIT,30,34 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,34 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,30,51 HOOK AVE
PARK PROHIBITED TIME NO PERMIT,30,306 SOUDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,99 MOUNTJOY AVE
PARK PROHIBITED TIME NO PERMIT,30,455 SOUDAN AVE
PARK PROHIBITED TIME NO PERMIT,30,SCARBOROUGH RD
PARK PROHIBITED TIME NO PERMIT,30,STRATHCONA AVE
PARK PROHIBITED TIME NO PERMIT,30,SCARBOROUGH RD
PARK PROHIBITED TIME NO PERMIT,30,45 SHIELDS AVE
PARK PROHIBITED TIME NO PERMIT,30,BAIRD AVE
PARK PROHIBITED TIME NO PERMIT,30,65 SHIELDS AVE
PARK PROHIBITED TIME NO PERMIT,30,SWANWICK AVE
PARK PROHIBITED TIME NO PERMIT,30,57 MONARCH PARK AVE
PARK PROHIBITED TIME NO PERMIT,30,35 SEYMOUR AVE
PARK PROHIBITED TIME NO PERMIT,30,9 BORDEN ST
PARK PROHIBITED TIME NO PERMIT,30,224 BINGHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,43 MONARCH PARK AVE
PARK PROHIBITED TIME NO PERMIT,30,12 BORDEN ST
PARK PROHIBITED TIME NO PERMIT,30,120 CASTLEWOOD RD
PARK PROHIBITED TIME NO PERMIT,30,133 BOULTBEE AVE
PARK PROHIBITED TIME NO PERMIT,30,MARMOT ST
PARK PROHIBITED TIME NO PERMIT,30,113 PARKMOUNT RD
PARK PROHIBITED TIME NO PERMIT,30,62 BOULTBEE AVE
PARK PROHIBITED TIME NO PERMIT,30,WOODALE AVE
PARK PROHIBITED TIME NO PERMIT,30,88 PARKMOUNT RD
PARK PROHIBITED TIME NO PERMIT,30,59 HEDDINGTON AVE
PARK PROHIBITED TIME NO PERMIT,30,MARMOT ST
PARK PROHIBITED TIME NO PERMIT,30,WOODALE AVE
PARK PROHIBITED TIME NO PERMIT,30,MARMOT ST
PARK PROHIBITED TIME NO PERMIT,30,26 BORDEN ST
PARK PROHIBITED TIME NO PERMIT,30,326 CARLAW AVE
PARK PROHIBITED TIME NO PERMIT,30,WOODALE AVE
PARK PROHIBITED TIME NO PERMIT,30,326 CARLAW AVE
PARK PROHIBITED TIME NO PERMIT,30,179 BINGHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,719 RHODES AVE
PARK PROHIBITED TIME NO PERMIT,30,290 CARLAW AVE
PARK PROHIBITED TIME NO PERMIT,30,FORMAN AVE
